"Nro documento","Fecha","Estado movto.","ZONAS","CLASE DE CLIENTE","Cant. pedida","","Cant. pendiente","Desc. sucursal factura","Referencia","Desc. detalle ext. 1","Fecha factura desde pedido","Desc. ciudad","Cliente factura","Precio unit.","",""
"loa","09/04/2017","Cumplido","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","0","SUPERMOTOS DEL HUILA SAS NEIVA","WAVE 110S                                         ","ROJO     ","","","","","",""
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS NEIVA","CB 160F DLX                                       ","NARANJA N","09/05/2017","NEIVA","890705577","$3","941","176"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS NEIVA","CB 160F DLX                                       ","NEGRO PER","","NEIVA","890705577","$6","133","613"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS NEIVA","DIO  110                                          ","ROJO     ","","NEIVA","890705577","$6","133","613"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS NEIVA","DIO  110                                          ","BLANCO NE","","NEIVA","890705577","$3","521","8"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS NEIVA","DIO  110                                          ","AZUL     ","","NEIVA","890705577","$3","521","8"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS NEIVA","CB 190 REPSOL                                     ","NARANJA B","","NEIVA","890705577","$3","521","8"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS NEIVA","CB 190R                                           ","ROJO NEGR","","NEIVA","890705577","$7","730","252"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS NEIVA","CB 190R                                           ","NEGRO ONI","","NEIVA","890705577","$7","554","622"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","5","SUPERMOTOS DEL HUILA SAS","5","SUPERMOTOS DEL HUILA SAS NEIVA","*XR 150L                                          ","NEGRO ROJ","","NEIVA","890705577","$7","554","622"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS NEIVA","*XR 150L                                          ","NEGRO BLA","","NEIVA","890705577","$5","789","916"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","5","SUPERMOTOS DEL HUILA SAS","5","SUPERMOTOS DEL HUILA SAS NEIVA","*XR 150L                                          ","NEGRO    ","","NEIVA","890705577","$5","789","916"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","3","SUPERMOTOS DEL HUILA SAS","3","SUPERMOTOS DEL HUILA SAS NEIVA","WAVE 110S                                         ","ROJO     ","","NEIVA","890705577","$5","789","916"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS NEIVA","WAVE 110S                                         ","BLANCO   ","","NEIVA","890705577","$3","941","176"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","2","SUPERMOTOS DEL HUILA SAS","2","SUPERMOTOS DEL HUILA SAS NEIVA","WAVE 110S                                         ","NEGRO    ","","NEIVA","890705577","$3","941","176"
"PVT-00097045","09/04/2017","Aprobado","CTR - ZONA CENTRO","CONC - CONCESIONARIOS","1","SUPERMOTOS DEL HUILA SAS","1","SUPERMOTOS DEL HUILA SAS NEIVA","DREAM  NEO                                        ","ROJO ALFA","","NEIVA","890705577","$3","941","176"
